region,year,month,temp_max,temp_avg_daily_max,temp_min_daily_max,temp_max_daily_avg,temp_avg,temp_min_daily_avg,temp_max_daily_min,temp_avg_daily_min,temp_min,dew_pt_max,dew_pt_avg,dew_pt_min,precipitation_max,precipitation_avg,precipitation_min,precipitation_sum,snow_depth_max,snow_depth_avg,snow_depth_min,snow_depth_sum,wind_max,wind_avg,wind_min,gust_max,gust_avg,gust_min,sea_level_preassure_max,sea_level_preassure_avg,sea_level_preassure_min
andaman-and-nicobar-islands,2010,january,28.0°C (82.4°F),27.55°C (81.59°F),27.0°C (80.6°F),28.0°C (82.4°F),27.42°C (81.36°F),27.0°C (80.6°F),28.0°C (82.4°F),27.13°C (80.83°F),26.0°C (78.8°F),24.0°C (75.2°F),23.13°C (73.63°F),21.0°C (69.8°F),5.3mm | 0.21in,0.9mm | 0.04in,0.0mm | 0in,28.0mm | 1.1in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,26.0kmh | 16.16mph,17.71kmh | 11.0mph,10.0kmh | 6.21mph,35.0kmh | 21.75mph,24.71kmh | 15.35mph,15.0kmh | 9.32mph,5.3mb,0.9mb,0.0mb
andaman-and-nicobar-islands,2010,december,29.0°C (84.2°F),28.03°C (82.45°F),27.0°C (80.6°F),29.0°C (84.2°F),27.84°C (82.11°F),27.0°C (80.6°F),28.0°C (82.4°F),27.03°C (80.65°F),26.0°C (78.8°F),24.0°C (75.2°F),22.87°C (73.17°F),20.0°C (68.0°F),49.4mm | 1.94in,9.02mm | 0.36in,0.0mm | 0in,279.5mm | 11.0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,29.0kmh | 18.02mph,18.71kmh | 11.63mph,8.0kmh | 4.97mph,52.0kmh | 32.31mph,28.16kmh | 17.5mph,12.0kmh | 7.46mph,49.4mb,9.02mb,0.0mb
andaman-and-nicobar-islands,2011,january,29.0°C (84.2°F),27.68°C (81.82°F),27.0°C (80.6°F),28.0°C (82.4°F),27.45°C (81.41°F),26.0°C (78.8°F),28.0°C (82.4°F),26.52°C (79.74°F),25.0°C (77.0°F),24.0°C (75.2°F),22.26°C (72.07°F),19.0°C (66.2°F),23.7mm | 0.93in,4.36mm | 0.17in,0.0mm | 0in,135.1mm | 5.32in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,31.0kmh | 19.26mph,20.0kmh | 12.43mph,5.0kmh | 3.11mph,48.0kmh | 29.83mph,29.0kmh | 18.02mph,7.0kmh | 4.35mph,23.7mb,4.36mb,0.0mb
andaman-and-nicobar-islands,2011,february,29.0°C (84.2°F),27.75°C (81.95°F),27.0°C (80.6°F),28.0°C (82.4°F),27.29°C (81.12°F),26.0°C (78.8°F),27.0°C (80.6°F),26.21°C (79.18°F),25.0°C (77.0°F),24.0°C (75.2°F),22.25°C (72.05°F),20.0°C (68.0°F),14.6mm | 0.57in,2.79mm | 0.11in,0.0mm | 0in,78.1mm | 3.07in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,26.0kmh | 16.16mph,15.39kmh | 9.56mph,10.0kmh | 6.21mph,38.0kmh | 23.61mph,22.0kmh | 13.67mph,13.0kmh | 8.08mph,14.6mb,2.79mb,0.0mb
andaman-and-nicobar-islands,2011,march,30.0°C (86.0°F),28.35°C (83.03°F),27.0°C (80.6°F),29.0°C (84.2°F),28.03°C (82.45°F),27.0°C (80.6°F),28.0°C (82.4°F),27.0°C (80.6°F),26.0°C (78.8°F),24.0°C (75.2°F),22.77°C (72.99°F),22.0°C (71.6°F),19.5mm | 0.77in,4.67mm | 0.18in,0.0mm | 0in,144.9mm | 5.7in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,34.0kmh | 21.13mph,14.74kmh | 9.16mph,4.0kmh | 2.49mph,47.0kmh | 29.2mph,21.32kmh | 13.25mph,6.0kmh | 3.73mph,19.5mb,4.67mb,0.0mb
andaman-and-nicobar-islands,2011,april,30.0°C (86.0°F),28.93°C (84.07°F),28.0°C (82.4°F),29.0°C (84.2°F),28.67°C (83.61°F),27.0°C (80.6°F),29.0°C (84.2°F),27.67°C (81.81°F),26.0°C (78.8°F),25.0°C (77.0°F),23.63°C (74.53°F),22.0°C (71.6°F),14.3mm | 0.56in,2.72mm | 0.11in,0.0mm | 0in,81.5mm | 3.21in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,22.0kmh | 13.67mph,9.33kmh | 5.8mph,4.0kmh | 2.49mph,32.0kmh | 19.88mph,13.33kmh | 8.28mph,6.0kmh | 3.73mph,14.3mb,2.72mb,0.0mb
andaman-and-nicobar-islands,2011,may,30.0°C (86.0°F),29.45°C (85.01°F),28.0°C (82.4°F),30.0°C (86.0°F),29.16°C (84.49°F),28.0°C (82.4°F),29.0°C (84.2°F),28.61°C (83.5°F),28.0°C (82.4°F),25.0°C (77.0°F),24.45°C (76.01°F),23.0°C (73.4°F),20.6mm | 0.81in,4.51mm | 0.18in,0.0mm | 0in,139.8mm | 5.5in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,33.0kmh | 20.51mph,19.97kmh | 12.41mph,6.0kmh | 3.73mph,48.0kmh | 29.83mph,28.65kmh | 17.8mph,9.0kmh | 5.59mph,20.6mb,4.51mb,0.0mb
andaman-and-nicobar-islands,2011,june,30.0°C (86.0°F),29.13°C (84.43°F),29.0°C (84.2°F),29.0°C (84.2°F),28.97°C (84.15°F),28.0°C (82.4°F),29.0°C (84.2°F),28.63°C (83.53°F),28.0°C (82.4°F),25.0°C (77.0°F),24.9°C (76.82°F),24.0°C (75.2°F),18.3mm | 0.72in,7.02mm | 0.28in,0.0mm | 0in,210.5mm | 8.29in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,47.0kmh | 29.2mph,32.6kmh | 20.26mph,22.0kmh | 13.67mph,72.0kmh | 44.74mph,48.07kmh | 29.87mph,30.0kmh | 18.64mph,18.3mb,7.02mb,0.0mb
andaman-and-nicobar-islands,2011,july,29.0°C (84.2°F),28.58°C (83.44°F),28.0°C (82.4°F),29.0°C (84.2°F),28.13°C (82.63°F),28.0°C (82.4°F),28.0°C (82.4°F),27.84°C (82.11°F),27.0°C (80.6°F),25.0°C (77.0°F),24.35°C (75.83°F),24.0°C (75.2°F),30.8mm | 1.21in,11.51mm | 0.45in,0.0mm | 0in,356.9mm | 14.05in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,47.0kmh | 29.2mph,31.32kmh | 19.46mph,18.0kmh | 11.18mph,75.0kmh | 46.6mph,47.48kmh | 29.5mph,26.0kmh | 16.16mph,30.8mb,11.51mb,0.0mb
andaman-and-nicobar-islands,2011,august,29.0°C (84.2°F),28.23°C (82.81°F),28.0°C (82.4°F),29.0°C (84.2°F),28.06°C (82.51°F),28.0°C (82.4°F),28.0°C (82.4°F),27.77°C (81.99°F),27.0°C (80.6°F),25.0°C (77.0°F),24.42°C (75.96°F),23.0°C (73.4°F),21.3mm | 0.84in,7.89mm | 0.31in,0.5mm | 0.02in,244.6mm | 9.63in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,45.0kmh | 27.96mph,30.19kmh | 18.76mph,19.0kmh | 11.81mph,70.0kmh | 43.5mph,44.9kmh | 27.9mph,27.0kmh | 16.78mph,21.3mb,7.89mb,0.5mb
andaman-and-nicobar-islands,2011,september,28.0°C (82.4°F),28.0°C (82.4°F),28.0°C (82.4°F),28.0°C (82.4°F),27.97°C (82.35°F),27.0°C (80.6°F),28.0°C (82.4°F),27.57°C (81.63°F),27.0°C (80.6°F),25.0°C (77.0°F),24.33°C (75.79°F),23.0°C (73.4°F),24.6mm | 0.97in,10.32mm | 0.41in,1.6mm | 0.06in,309.5mm | 12.19in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,39.0kmh | 24.23mph,29.57kmh | 18.37mph,22.0kmh | 13.67mph,59.0kmh | 36.66mph,44.87kmh | 27.88mph,31.0kmh | 19.26mph,24.6mb,10.32mb,1.6mb
andaman-and-nicobar-islands,2011,october,29.0°C (84.2°F),28.35°C (83.03°F),27.0°C (80.6°F),29.0°C (84.2°F),28.23°C (82.81°F),26.0°C (78.8°F),28.0°C (82.4°F),27.55°C (81.59°F),26.0°C (78.8°F),25.0°C (77.0°F),23.65°C (74.57°F),23.0°C (73.4°F),27.1mm | 1.07in,5.87mm | 0.23in,0.1mm | 0.0in,182.1mm | 7.17in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,30.0kmh | 18.64mph,15.81kmh | 9.82mph,5.0kmh | 3.11mph,44.0kmh | 27.34mph,23.35kmh | 14.51mph,7.0kmh | 4.35mph,27.1mb,5.87mb,0.1mb
andaman-and-nicobar-islands,2011,november,29.0°C (84.2°F),28.9°C (84.02°F),28.0°C (82.4°F),29.0°C (84.2°F),28.7°C (83.66°F),28.0°C (82.4°F),29.0°C (84.2°F),27.8°C (82.04°F),27.0°C (80.6°F),24.0°C (75.2°F),22.97°C (73.35°F),20.0°C (68.0°F),15.0mm | 0.59in,2.46mm | 0.1in,0.0mm | 0in,73.9mm | 2.91in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,28.0kmh | 17.4mph,15.8kmh | 9.82mph,6.0kmh | 3.73mph,40.0kmh | 24.85mph,22.43kmh | 13.94mph,8.0kmh | 4.97mph,15.0mb,2.46mb,0.0mb
andaman-and-nicobar-islands,2011,december,29.0°C (84.2°F),28.42°C (83.16°F),28.0°C (82.4°F),29.0°C (84.2°F),28.06°C (82.51°F),28.0°C (82.4°F),28.0°C (82.4°F),27.32°C (81.18°F),27.0°C (80.6°F),24.0°C (75.2°F),22.84°C (73.11°F),21.0°C (69.8°F),27.9mm | 1.1in,4.13mm | 0.16in,0.0mm | 0in,127.9mm | 5.04in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,50.0kmh | 31.07mph,24.35kmh | 15.13mph,8.0kmh | 4.97mph,80.0kmh | 49.71mph,35.03kmh | 21.77mph,12.0kmh | 7.46mph,27.9mb,4.13mb,0.0mb
andaman-and-nicobar-islands,2012,january,28.0°C (82.4°F),27.52°C (81.54°F),27.0°C (80.6°F),28.0°C (82.4°F),27.19°C (80.94°F),26.0°C (78.8°F),27.0°C (80.6°F),26.23°C (79.21°F),25.0°C (77.0°F),23.0°C (73.4°F),21.58°C (70.84°F),19.0°C (66.2°F),13.8mm | 0.54in,1.62mm | 0.06in,0.0mm | 0in,50.3mm | 1.98in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,31.0kmh | 19.26mph,20.42kmh | 12.69mph,13.0kmh | 8.08mph,43.0kmh | 26.72mph,28.48kmh | 17.7mph,18.0kmh | 11.18mph,13.8mb,1.62mb,0.0mb
andaman-and-nicobar-islands,2012,february,29.0°C (84.2°F),28.0°C (82.4°F),27.0°C (80.6°F),28.0°C (82.4°F),27.34°C (81.21°F),26.0°C (78.8°F),27.0°C (80.6°F),26.31°C (79.36°F),26.0°C (78.8°F),23.0°C (73.4°F),21.69°C (71.04°F),20.0°C (68.0°F),36.0mm | 1.42in,2.18mm | 0.09in,0.0mm | 0in,63.2mm | 2.49in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,26.0kmh | 16.16mph,15.69kmh | 9.75mph,3.0kmh | 1.86mph,42.0kmh | 26.1mph,22.66kmh | 14.08mph,5.0kmh | 3.11mph,36.0mb,2.18mb,0.0mb
andaman-and-nicobar-islands,2012,march,29.0°C (84.2°F),28.61°C (83.5°F),28.0°C (82.4°F),29.0°C (84.2°F),28.16°C (82.69°F),27.0°C (80.6°F),28.0°C (82.4°F),27.03°C (80.65°F),26.0°C (78.8°F),24.0°C (75.2°F),21.68°C (71.02°F),20.0°C (68.0°F),5.0mm | 0.2in,0.37mm | 0.01in,0.0mm | 0in,11.5mm | 0.45in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,18.0kmh | 11.18mph,10.55kmh | 6.56mph,6.0kmh | 3.73mph,26.0kmh | 16.16mph,14.74kmh | 9.16mph,8.0kmh | 4.97mph,5.0mb,0.37mb,0.0mb
andaman-and-nicobar-islands,2012,april,30.0°C (86.0°F),29.53°C (85.15°F),29.0°C (84.2°F),30.0°C (86.0°F),29.27°C (84.69°F),28.0°C (82.4°F),29.0°C (84.2°F),28.4°C (83.12°F),28.0°C (82.4°F),25.0°C (77.0°F),23.53°C (74.35°F),22.0°C (71.6°F),2.9mm | 0.11in,0.26mm | 0.01in,0.0mm | 0in,7.9mm | 0.31in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,17.0kmh | 10.56mph,9.23kmh | 5.74mph,4.0kmh | 2.49mph,23.0kmh | 14.29mph,12.77kmh | 7.93mph,5.0kmh | 3.11mph,2.9mb,0.26mb,0.0mb
andaman-and-nicobar-islands,2012,may,30.0°C (86.0°F),29.84°C (85.71°F),29.0°C (84.2°F),30.0°C (86.0°F),29.45°C (85.01°F),28.0°C (82.4°F),30.0°C (86.0°F),28.84°C (83.91°F),27.0°C (80.6°F),26.0°C (78.8°F),24.48°C (76.06°F),23.0°C (73.4°F),24.1mm | 0.95in,6.2mm | 0.24in,0.0mm | 0in,192.1mm | 7.56in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,42.0kmh | 26.1mph,24.26kmh | 15.07mph,14.0kmh | 8.7mph,59.0kmh | 36.66mph,35.06kmh | 21.79mph,20.0kmh | 12.43mph,24.1mb,6.2mb,0.0mb
andaman-and-nicobar-islands,2012,june,30.0°C (86.0°F),28.87°C (83.97°F),28.0°C (82.4°F),29.0°C (84.2°F),28.43°C (83.17°F),28.0°C (82.4°F),29.0°C (84.2°F),28.17°C (82.71°F),28.0°C (82.4°F),26.0°C (78.8°F),24.93°C (76.87°F),24.0°C (75.2°F),28.6mm | 1.13in,6.88mm | 0.27in,0.0mm | 0in,206.5mm | 8.13in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,46.0kmh | 28.58mph,35.73kmh | 22.2mph,26.0kmh | 16.16mph,72.0kmh | 44.74mph,52.77kmh | 32.79mph,37.0kmh | 22.99mph,28.6mb,6.88mb,0.0mb
andaman-and-nicobar-islands,2012,july,29.0°C (84.2°F),28.58°C (83.44°F),28.0°C (82.4°F),29.0°C (84.2°F),28.1°C (82.58°F),28.0°C (82.4°F),28.0°C (82.4°F),27.94°C (82.29°F),27.0°C (80.6°F),25.0°C (77.0°F),24.74°C (76.53°F),24.0°C (75.2°F),32.0mm | 1.26in,5.52mm | 0.22in,0.2mm | 0.01in,171.1mm | 6.74in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,38.0kmh | 23.61mph,29.26kmh | 18.18mph,9.0kmh | 5.59mph,57.0kmh | 35.42mph,42.71kmh | 26.54mph,13.0kmh | 8.08mph,32.0mb,5.52mb,0.2mb
andaman-and-nicobar-islands,2012,august,29.0°C (84.2°F),28.65°C (83.57°F),28.0°C (82.4°F),29.0°C (84.2°F),28.1°C (82.58°F),28.0°C (82.4°F),28.0°C (82.4°F),27.81°C (82.06°F),27.0°C (80.6°F),25.0°C (77.0°F),24.48°C (76.06°F),23.0°C (73.4°F),12.9mm | 0.51in,4.3mm | 0.17in,0.0mm | 0in,133.4mm | 5.25in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,44.0kmh | 27.34mph,31.65kmh | 19.67mph,18.0kmh | 11.18mph,64.0kmh | 39.77mph,45.81kmh | 28.47mph,25.0kmh | 15.53mph,12.9mb,4.3mb,0.0mb
andaman-and-nicobar-islands,2012,september,28.0°C (82.4°F),27.97°C (82.35°F),27.0°C (80.6°F),28.0°C (82.4°F),27.9°C (82.22°F),27.0°C (80.6°F),28.0°C (82.4°F),27.27°C (81.09°F),27.0°C (80.6°F),25.0°C (77.0°F),24.07°C (75.33°F),23.0°C (73.4°F),21.5mm | 0.85in,9.6mm | 0.38in,0.6mm | 0.02in,288.1mm | 11.34in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,36.0kmh | 22.37mph,25.47kmh | 15.83mph,14.0kmh | 8.7mph,55.0kmh | 34.18mph,38.17kmh | 23.72mph,21.0kmh | 13.05mph,21.5mb,9.6mb,0.6mb
andaman-and-nicobar-islands,2012,october,30.0°C (86.0°F),28.61°C (83.5°F),28.0°C (82.4°F),29.0°C (84.2°F),28.39°C (83.1°F),28.0°C (82.4°F),29.0°C (84.2°F),27.55°C (81.59°F),27.0°C (80.6°F),24.0°C (75.2°F),23.81°C (74.86°F),23.0°C (73.4°F),13.5mm | 0.53in,2.72mm | 0.11in,0.0mm | 0in,84.3mm | 3.32in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,24.0kmh | 14.91mph,15.71kmh | 9.76mph,7.0kmh | 4.35mph,33.0kmh | 20.51mph,22.52kmh | 13.99mph,9.0kmh | 5.59mph,13.5mb,2.72mb,0.0mb
andaman-and-nicobar-islands,2012,november,30.0°C (86.0°F),28.77°C (83.79°F),28.0°C (82.4°F),29.0°C (84.2°F),28.5°C (83.3°F),28.0°C (82.4°F),29.0°C (84.2°F),27.9°C (82.22°F),27.0°C (80.6°F),24.0°C (75.2°F),23.4°C (74.12°F),22.0°C (71.6°F),33.8mm | 1.33in,6.31mm | 0.25in,0.0mm | 0in,189.4mm | 7.46in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,28.0kmh | 17.4mph,12.97kmh | 8.06mph,4.0kmh | 2.49mph,45.0kmh | 27.96mph,19.2kmh | 11.93mph,6.0kmh | 3.73mph,33.8mb,6.31mb,0.0mb
andaman-and-nicobar-islands,2012,december,29.0°C (84.2°F),28.55°C (83.39°F),27.0°C (80.6°F),29.0°C (84.2°F),28.13°C (82.63°F),27.0°C (80.6°F),28.0°C (82.4°F),27.35°C (81.23°F),26.0°C (78.8°F),24.0°C (75.2°F),22.81°C (73.06°F),21.0°C (69.8°F),11.4mm | 0.45in,1.38mm | 0.05in,0.0mm | 0in,42.7mm | 1.68in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,27.0kmh | 16.78mph,19.35kmh | 12.02mph,10.0kmh | 6.21mph,39.0kmh | 24.23mph,27.16kmh | 16.88mph,13.0kmh | 8.08mph,11.4mb,1.38mb,0.0mb
andaman-and-nicobar-islands,2013,january,29.0°C (84.2°F),27.61°C (81.7°F),26.0°C (78.8°F),28.0°C (82.4°F),27.39°C (81.3°F),26.0°C (78.8°F),28.0°C (82.4°F),26.48°C (79.66°F),24.0°C (75.2°F),24.0°C (75.2°F),22.19°C (71.94°F),19.0°C (66.2°F),4.7mm | 0.19in,0.55mm | 0.02in,0.0mm | 0in,17.2mm | 0.68in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,0.0mm | 0in,26.0kmh | 16.16mph,19.9kmh | 12.37mph,13.0kmh | 8.08mph,37.0kmh | 22.99mph,27.42kmh | 17.04mph,19.0kmh | 11.81mph,4.7mb,0.55mb,0.0mb
